"Date","Price","Open","High","Low","Vol.","Change Avg"
"01/01/1997","3.3095","3.2448","3.3297","3.2312","","2.01%"
"12/01/1996","3.2444","3.2593","3.3052","3.2399","","-0.46%"
"11/01/1996","3.2594","3.2802","3.2849","3.2083","","-0.63%"
"10/01/1996","3.2801","3.2060","3.2994","3.1839","","2.40%"
"09/01/1996","3.2032","3.1447","3.1982","3.1370","","2.00%"
"08/01/1996","3.1404","3.1540","3.1780","3.1246","","-0.39%"
"07/01/1996","3.1527","3.2229","3.2233","3.1470","","-2.07%"
"06/01/1996","3.2194","3.2953","3.3068","3.1595","","-2.10%"
"05/01/1996","3.2883","3.1957","3.3346","3.1879","","2.90%"
"04/01/1996","3.1956","3.1242","3.2118","3.0899","","2.37%"
"03/01/1996","3.1215","3.1016","3.1471","3.0766","","0.57%"
"02/01/1996","3.1039","3.1377","3.1630","3.0770","","-1.17%"
"01/01/1996","3.1408","3.1368","3.1618","3.1157","","0.06%"
"12/01/1995","3.1388","3.0796","3.2135","3.0701","","1.94%"
"11/01/1995","3.0790","3.0261","3.1200","2.9957","","1.75%"
"10/01/1995","3.0260","3.0031","3.0503","2.9763","","0.70%"
"09/01/1995","3.0049","3.0446","3.0680","2.9892","","-1.32%"
"08/01/1995","3.0450","3.0030","3.0853","2.9566","","1.43%"
"07/01/1995","3.0022","2.9485","3.0027","2.9263","","1.85%"
"06/01/1995","2.9478","3.0155","3.0396","2.9478","","-2.22%"
"05/01/1995","3.0148","2.9721","3.0501","2.9469","","1.42%"
"04/01/1995","2.9727","2.9446","3.0087","2.9198","","0.74%"
"03/01/1995","2.9510","2.9863","3.0187","2.9242","","-1.23%"
"02/01/1995","2.9878","3.0099","3.0547","2.9779","","-0.76%"
"01/01/1995","3.0107","3.0180","3.0444","2.9875","","-0.24%"
"12/01/1994","3.0178","3.0318","3.0746","2.9968","","-0.44%"
"11/01/1994","3.0310","3.0021","3.0783","2.9846","","0.76%"
"10/01/1994","3.0080","3.0290","3.0450","2.9851","","-0.32%"
"09/01/1994","3.0177","3.0177","3.0177","3.0177","","-0.41%"
"08/01/1994","3.0300","3.0300","3.0300","3.0300","","-1.05%"
"07/01/1994","3.0620","3.0620","3.0620","3.0620","","1.17%"
"06/01/1994","3.0267","3.0267","3.0267","3.0267","","-0.31%"
"05/01/1994","3.0360","3.0360","3.0360","3.0360","","1.17%"
"04/01/1994","3.0010","3.0010","3.0010","3.0010","","1.18%"
"03/01/1994","2.9661","2.9661","2.9661","2.9661","","-0.33%"
"02/01/1994","2.9760","2.9760","2.9760","2.9760","","-0.37%"
"01/01/1994","2.9872","2.9872","2.9872","2.9872","","0.17%"
"12/01/1993","2.9820","2.9820","2.9820","2.9820","","0.24%"
"11/01/1993","2.9749","2.9749","2.9749","2.9749","","1.74%"
"10/01/1993","2.9240","2.9240","2.9240","2.9240","","1.95%"
"09/01/1993","2.8680","2.8680","2.8680","2.8680","","-0.03%"
"08/01/1993","2.8690","2.8690","2.8690","2.8690","","0.06%"
"07/01/1993","2.8674","2.8674","2.8674","2.8674","","2.12%"
"06/01/1993","2.8080","2.8080","2.8080","2.8080","","2.74%"
"05/01/1993","2.7330","2.7330","2.7330","2.7330","","0.15%"
"04/01/1993","2.7290","2.7290","2.7290","2.7290","","-1.27%"
"03/01/1993","2.7640","2.7640","2.7640","2.7640","","-1.11%"
"02/01/1993","2.7950","2.7950","2.7950","2.7950","","1.19%"
"01/01/1993","2.7620","2.7620","2.7620","2.7620","","-0.04%"
